PeakID (cmd=annotatePeaks.pl lmo2_specific.bed mm10 -annStats lmo2_peaks_annstats.tsv)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
lmo2_peak_1201	chr4	100755589	100755789	+	45	NA	Intergenic	Intergenic	-20990	NM_198037	320508	Mm.151962	NM_198037	ENSMUSG00000028532	Cachd1	1190007F10Rik|AI852726|B430218L07Rik|Vwcd1|mKIAA1573	cache domain containing 1	protein-coding
lmo2_peak_1568	chr7	135397989	135398132	+	45	NA	Intergenic	Intergenic	-12307	NM_183193	270004	Mm.132547	NM_183193	ENSMUSG00000048377	Foxi2	B130055A05Rik	forkhead box I2	protein-coding
lmo2_peak_1269	chr4	148204175	148204336	+	45	NA	Intergenic	Intergenic	43587	NM_176848	230904	Mm.262287	NM_176848	ENSMUSG00000041556	Fbxo2	FBG1|FBX2|Fbs1|Fbs2|NFB42|Prpl4	F-box protein 2	protein-coding
lmo2_peak_1416	chr6	40347460	40347612	+	45	NA	intron (NM_023538, intron 3 of 15)	intron (NM_023538, intron 3 of 15)	22058	NM_023538	69923	Mm.32840	NM_023538	ENSMUSG00000029916	Agk	2610037M15Rik|6720408I04Rik|AI465370|Mulk	acylglycerol kinase	protein-coding
lmo2_peak_1828	chr9	76007690	76007833	+	45	NA	Intergenic	BLACKJACK|DNA|hAT-Blackjack	-7216	NM_173731	208982	Mm.82306	NM_173731	ENSMUSG00000007908	Hmgcll1	BC037381	3-hydroxymethyl-3-methylglutaryl-Coenzyme A lyase-like 1	protein-coding
lmo2_peak_1593	chr8	11065490	11065633	+	44	NA	Intergenic	MIR3|SINE|MIR	-56632	NM_001081212	384783	Mm.407207	NM_001081212	ENSMUSG00000038894	Irs2	Irs-2	insulin receptor substrate 2	protein-coding
lmo2_peak_331	chr12	8776840	8776983	+	42	NA	intron (NM_011519, intron 1 of 4)	intron (NM_011519, intron 1 of 4)	5515	NM_011519	20969	Mm.2580	NM_011519	ENSMUSG00000020592	Sdc1	AA408134|AA409076|CD138|Sstn|Synd|Synd1|syn-1	syndecan 1	protein-coding
lmo2_peak_807	chr18	20938765	20938908	+	42	NA	Intergenic	Intergenic	-5779	NM_026301	67664	Mm.45980	NM_026301	ENSMUSG00000033107	Rnf125	4930553F04Rik|C730049O14Rik	ring finger protein 125	protein-coding
lmo2_peak_1831	chr9	78516211	78516358	+	42	NA	Intergenic	Intergenic	-34560	NM_010106	13627	Mm.138471	NM_010106	ENSMUSG00000037742	Eef1a1	-	eukaryotic translation elongation factor 1 alpha 1	protein-coding
lmo2_peak_927	chr2	26578546	26578695	+	42	NA	Intergenic	Intergenic	-2463	NM_178444	353156	Mm.268933	NM_178444	ENSMUSG00000026921	Egfl7	VE-statin|Zneu1	EGF-like domain 7	protein-coding
lmo2_peak_1328	chr5	103737266	103737486	+	42	NA	Intergenic	Intergenic	-16786	NM_133919	17355	Mm.6949	NM_133919	ENSMUSG00000029313	Aff1	9630032B01Rik|AW319193|Af4|Mllt2h|Rob	AF4/FMR2 family, member 1	protein-coding
lmo2_peak_1666	chr8	83423077	83423276	+	42	NA	exon (NM_009904, exon 11 of 15)	exon (NM_009904, exon 11 of 15)	19486	NM_019708	56367	Mm.246911	NM_019708	ENSMUSG00000063253	Scoc	0610011C06Rik|2810002J11Rik|AA415030|SCOCO	short coiled-coil protein	protein-coding
lmo2_peak_1720	chr8	121382918	121383120	+	42	NA	Intergenic	Intergenic	158935	NM_001357259	76405	Mm.165697	NM_029597	ENSMUSG00000031809	1700018B08Rik	1700084O22Rik	RIKEN cDNA 1700018B08 gene	protein-coding
lmo2_peak_1221	chr4	117189975	117190173	+	42	NA	Intergenic	Intergenic	-7450	NM_134471	73804	Mm.247651	NM_134471	ENSMUSG00000028678	Kif2c	4930402F02Rik|ESTM5|Knsl6|MCAK|X83316	kinesin family member 2C	protein-coding
lmo2_peak_614	chr15	73743195	73743368	+	42	NA	intron (NM_001166388, intron 1 of 5)	intron (NM_001166388, intron 1 of 5)	-4745	NM_008975	19245	Mm.390807	NM_008975	ENSMUSG00000059895	Ptp4a3	AV088979|Prl-3|pPtp4a3	protein tyrosine phosphatase 4a3	protein-coding
lmo2_peak_619	chr15	77881627	77881796	+	42	NA	Intergenic	ORR1A4|LTR|ERVL-MaLR	-39536	NM_022410	17886	Mm.29677	NM_022410	ENSMUSG00000022443	Myh9	Fltn|Myhn-1|Myhn1|NMHCIIA|NMMHC-A|NMMHC-IIA|TU72.6	myosin, heavy polypeptide 9, non-muscle	protein-coding
lmo2_peak_287	chr11	89509815	89510040	+	42	NA	intron (NM_001327810, intron 5 of 19)	intron (NM_001327810, intron 5 of 19)	-90979	NM_172534	382543	Mm.60997	NM_172534	ENSMUSG00000047773	Ankfn1	4932411E22Rik|Gm1175|nmf9	ankyrin-repeat and fibronectin type III domain containing 1	protein-coding
lmo2_peak_1078	chr3	30765793	30765936	+	40	NA	non-coding (NR_028060, exon 7 of 7)	non-coding (NR_028060, exon 7 of 7)	19571	NM_029489	75953	Mm.308084	NM_029489	ENSMUSG00000051860	Samd7	4930597A01Rik	sterile alpha motif domain containing 7	protein-coding
lmo2_peak_1693	chr8	109281882	109282025	+	40	NA	Intergenic	Intergenic	-32208	NR_151498	105243282	Mm.203332	NR_151498		4922502B01Rik	2900056M07Rik	RIKEN cDNA 4922502B01 gene	ncRNA
lmo2_peak_1090	chr3	65479927	65480094	+	40	NA	Intergenic	Intergenic	-48437	NM_178892	99929	Mm.246398	NM_178892	ENSMUSG00000034640	Tiparp	ARTD14|AW558171|PARP7	TCDD-inducible poly(ADP-ribose) polymerase	protein-coding
lmo2_peak_765	chr17	45503602	45503768	+	40	NA	Intergenic	Intergenic	-3147	NM_001358000	224805	Mm.329063	NM_198608	ENSMUSG00000023938	Aars2	Aarsl|AlaRS|Gm89	alanyl-tRNA synthetase 2, mitochondrial	protein-coding
lmo2_peak_308	chr11	105029207	105029350	+	40	NA	Intergenic	Intergenic	-62941	NM_001081046	70894	Mm.87320	NM_001081046	ENSMUSG00000020690	Efcab3	4921510J17Rik	EF-hand calcium binding domain 3	protein-coding
lmo2_peak_906	chr19	60192948	60193105	+	40	NA	Intergenic	MLT1J1|LTR|ERVL-MaLR	33675	NR_152391	76539	Mm.290183	NM_029648	ENSMUSG00000057858	Fam204a	2310065H12Rik|2610015K05Rik|D19Ertd737e	family with sequence similarity 204, member A	protein-coding
lmo2_peak_1463	chr6	116350078	116350221	+	40	NA	intron (NM_001302385, intron 2 of 6)	intron (NM_001302385, intron 2 of 6)	12127	NM_001302383	71779	Mm.27064	NM_027920	ENSMUSG00000025702	March8	1300017E09Rik|MARCH-VIII|Mir	membrane-associated ring finger (C3HC4) 8	protein-coding
lmo2_peak_179	chr10	95722217	95722368	+	40	NA	Intergenic	Intergenic	-158146	NM_027722	71207	Mm.24397	NM_027722	ENSMUSG00000020029	Nudt4	4933436C10Rik|DIPP-2|DIPP2|DIPP2alpha|DIPP2beta|HDCMB47P	nudix (nucleoside diphosphate linked moiety X)-type motif 4	protein-coding
lmo2_peak_1493	chr7	28557837	28557980	+	40	NA	TTS (NM_027470)	TTS (NM_027470)	3076	NR_106016	102466795		NR_106016	ENSMUSG00000098558	Mir7049	Gm27277|mmu-mir-7049	microRNA 7049	ncRNA
lmo2_peak_1155	chr4	10404579	10404746	+	40	NA	Intergenic	Intergenic	393140	NR_045185	73624	Mm.67392	NR_045185	ENSMUSG00000086080	1700123O12Rik	-	RIKEN cDNA 1700123O12 gene	ncRNA
lmo2_peak_379	chr12	86403836	86403983	+	40	NA	intron (NM_001159500, intron 1 of 6)	intron (NM_001159500, intron 1 of 6)	-17735	NM_011934	26380	Mm.235550	NM_011934	ENSMUSG00000021255	Esrrb	Err2|Errb|Estrrb|Nr3b2	estrogen related receptor, beta	protein-coding
lmo2_peak_88	chr1	176046711	176046903	+	40	NA	intron (NM_001357846, intron 3 of 8)	intron (NM_001357846, intron 3 of 8)	126478	NM_001290692	226720	Mm.11282	NM_001290692	ENSMUSG00000104158	Becn2	Beclin-2|Gm104	beclin 2	protein-coding
lmo2_peak_351	chr12	32123714	32123857	+	40	NA	Intergenic	Intergenic	-62508	NM_011158	19088	Mm.25594	NM_011158	ENSMUSG00000002997	Prkar2b	AI451071|AW061005|PKARIIbeta|Pkarb2|RII(beta)	protein kinase, cAMP dependent regulatory, type II beta	protein-coding
lmo2_peak_1843	chr9	101995759	101995978	+	40	NA	intron (NM_173447, intron 9 of 15)	intron (NM_173447, intron 9 of 15)	309107	NR_106163	102466241		NR_106163	ENSMUSG00000098521	Mir7243	Gm27363|mmu-mir-7243	microRNA 7243	ncRNA
lmo2_peak_200	chr10	122008846	122008997	+	40	NA	intron (NM_001081037, intron 1 of 21)	intron (NM_001081037, intron 1 of 21)	38394	NM_001081037	117600	Mm.288698	NM_001081037	ENSMUSG00000020121	Srgap1	4930572H05Rik|Arhgap13	SLIT-ROBO Rho GTPase activating protein 1	protein-coding
lmo2_peak_1179	chr4	53771642	53771785	+	40	NA	Intergenic	Intergenic	-7988	NM_009317	21350	Mm.56955	NM_009317	ENSMUSG00000028417	Tal2	bHLHa19	T cell acute lymphocytic leukemia 2	protein-coding
lmo2_peak_1281	chr5	3100178	3100321	+	40	NA	Intergenic	MMERVK10C-int|LTR|ERVK	-243644	NM_009873	12571	Mm.31672	NM_009873	ENSMUSG00000040274	Cdk6	AI504062|Crk2	cyclin-dependent kinase 6	protein-coding
lmo2_peak_366	chr12	73788944	73789115	+	40	NA	Intergenic	Intergenic	-112295	NM_001313920	15251	Mm.3879	NM_010431	ENSMUSG00000021109	Hif1a	AA959795|HIF-1-alpha|HIF1-alpha|HIF1alpha|MOP1|bHLHe78	hypoxia inducible factor 1, alpha subunit	protein-coding
lmo2_peak_167	chr10	84383293	84383541	+	40	NA	intron (NM_001004363, intron 4 of 6)	intron (NM_001004363, intron 4 of 6)	57251	NM_001004363	77976	Mm.25874	NM_001004363	ENSMUSG00000020032	Nuak1	AU014801|AW494241|B230104P22Rik|Omphk1	NUAK family, SNF1-like kinase, 1	protein-coding
lmo2_peak_1755	chr9	6289462	6289658	+	40	NA	intron (NM_001357397, intron 2 of 6)	intron (NM_001357397, intron 2 of 6)	-23013	NM_027942	71829	Mm.141452	NM_027942	ENSMUSG00000047619	Ddi1	1700011N24Rik	DNA-damage inducible 1	protein-coding
lmo2_peak_1342	chr5	116822202	116822387	+	40	NA	Intergenic	Intergenic	-230477	NM_026886	68955	Mm.146779	NM_026886	ENSMUSG00000063919	Srrm4	1500001A10Rik|B230202K19Rik|bv|mKIAA1853|nSR100	serine/arginine repetitive matrix 4	protein-coding
lmo2_peak_1083	chr3	41522831	41522988	+	40	NA	intron (NR_130791, intron 2 of 5)	intron (NR_130791, intron 2 of 5)	5565	NR_130791	78648	Mm.366093	NR_130791		2400006E01Rik	Gm43733|lncRNA-JADE	RIKEN cDNA 2400006E01 gene	ncRNA
lmo2_peak_459	chr13	64403641	64403795	+	40	NA	Intergenic	RLTR23|LTR|ERV1	-28835	NM_053180	105278	Mm.74982	NM_053180	ENSMUSG00000021483	Cdk20	4932702G04Rik|AU019450|AW558027|CDCH|Ccrk|PNQLARE|p42	cyclin-dependent kinase 20	protein-coding
lmo2_peak_443	chr13	46501874	46502065	+	40	NA	promoter-TSS (NM_026056)	promoter-TSS (NM_026056)	66	NM_026056	67252	Mm.44529	NM_026056	ENSMUSG00000021373	Cap2	2810452G09Rik|AV045235	CAP, adenylate cyclase-associated protein, 2 (yeast)	protein-coding
lmo2_peak_548	chr14	64006669	64006812	+	40	NA	intron (NM_146246, intron 1 of 3)	intron (NM_146246, intron 1 of 3)	14309	NM_146246	271209	Mm.300655	NM_146246	ENSMUSG00000046049	Rp1l1	BC031365|BE983540|Dcdc4|Rp1hl1	retinitis pigmentosa 1 homolog like 1	protein-coding
lmo2_peak_380	chr12	86802356	86802523	+	40	NA	Intergenic	Intergenic	68070	NM_001195767	627607	Mm.341880	NM_001195767	ENSMUSG00000059114	Lrrc74a	EG627607|Gm6772|Lrrc74	leucine rich repeat containing 74A	protein-coding
lmo2_peak_142	chr10	63220869	63221036	+	40	NA	Intergenic	Intergenic	-17000	NM_182992	68802	Mm.259767	NM_182992	ENSMUSG00000020067	Mypn	1110056A04Rik|9830112J03|AI853556|mKIAA4170	myopalladin	protein-coding
lmo2_peak_800	chr18	5820908	5821216	+	40	NA	Intergenic	Intergenic	228415	NM_001360982	21417	Mm.3929	NM_011546	ENSMUSG00000024238	Zeb1	3110032K11Rik|AREB6|BZP|MEB1|Nil2|TCF-8|Tcf18|Tcf8|Tw|ZEB|Zfhep|Zfhx1a|Zfx1a|Zfx1ha|[delta]EF1	zinc finger E-box binding homeobox 1	protein-coding
lmo2_peak_328	chr12	3309538	3309738	+	40	NA	5' UTR (NM_016676, exon 1 of 6)	5' UTR (NM_016676, exon 1 of 6)	331	NM_016676	19325	Mm.378993	NM_016676	ENSMUSG00000020671	Rab10	AW107754	RAB10, member RAS oncogene family	protein-coding
lmo2_peak_1761	chr9	21752501	21752650	+	40	NA	Intergenic	Intergenic	7728	NM_026282	67629	Mm.295642	NM_026282	ENSMUSG00000074476	Spc24	2410030K01Rik|AV109292|Spbc24	SPC24, NDC80 kinetochore complex component, homolog (S. cerevisiae)	protein-coding
lmo2_peak_1842	chr9	101995467	101995639	+	40	NA	intron (NM_173447, intron 9 of 15)	intron (NM_173447, intron 9 of 15)	309422	NR_106163	102466241		NR_106163	ENSMUSG00000098521	Mir7243	Gm27363|mmu-mir-7243	microRNA 7243	ncRNA
lmo2_peak_221	chr11	29373543	29373686	+	40	NA	promoter-TSS (NM_176841)	promoter-TSS (NM_176841)	-44	NM_176841	108686	Mm.338284	NM_176841	ENSMUSG00000032740	Ccdc88a	A430106J12Rik|AI848406|Ape|C130096N06Rik|C330012F17Rik|D130005J21Rik|Girdin|Giv|Grdn|Hkrp1	coiled coil domain containing 88A	protein-coding
lmo2_peak_27	chr1	73116694	73116837	+	40	NA	Intergenic	Intergenic	92179	NR_038002	69449	Mm.250447	NR_038001	ENSMUSG00000101968	1700027A15Rik	-	RIKEN cDNA 1700027A15 gene	ncRNA
lmo2_peak_929	chr2	27324646	27324795	+	40	NA	intron (NR_133905, intron 2 of 29)	intron (NR_133905, intron 2 of 29)	-77417	NM_138665	192166	Mm.278467	NM_138665	ENSMUSG00000009614	Sardh	-	sarcosine dehydrogenase	protein-coding
lmo2_peak_1264	chr4	144950040	144950183	+	40	NA	Intergenic	Intergenic	56974	NM_001357274	20148	Mm.14063	NM_011303	ENSMUSG00000066026	Dhrs3	Rsdr1|retSDR1	dehydrogenase/reductase (SDR family) member 3	protein-coding
lmo2_peak_899	chr19	53890766	53891016	+	40	NA	Intergenic	Intergenic	-1340	NM_011050	18569	Mm.1605	NM_011050	ENSMUSG00000024975	Pdcd4	D19Ucla1|Ma3|Tis	programmed cell death 4	protein-coding
lmo2_peak_110	chr10	12951476	12951628	+	40	NA	intron (NM_029075, intron 1 of 2)	intron (NM_029075, intron 1 of 2)	12707	NM_029075	74732	Mm.248648	NM_029075	ENSMUSG00000039232	Stx11	5830405C08Rik	syntaxin 11	protein-coding
lmo2_peak_1654	chr8	71511810	71511977	+	40	NA	promoter-TSS (NM_032398)	promoter-TSS (NM_032398)	-124	NM_032398	84094	Mm.260768	NM_032398	ENSMUSG00000034845	Plvap	MECA32|Pv1	plasmalemma vesicle associated protein	protein-coding
lmo2_peak_1075	chr3	28681875	28682075	+	40	NA	Intergenic	Intergenic	-15928	NM_031197	20526	Mm.18443	NM_031197	ENSMUSG00000027690	Slc2a2	AI266973|Glut-2|Glut2	solute carrier family 2 (facilitated glucose transporter), member 2	protein-coding
lmo2_peak_440	chr13	46043098	46043286	+	40	NA	Intergenic	UCON26|Unknown|Unknown	-78201	NM_001199305	20238	Mm.342683	NM_009124	ENSMUSG00000046876	Atxn1	2900016G23Rik|Atx1|C85907|Gm10786|Sca1	ataxin 1	protein-coding
lmo2_peak_381	chr12	88750964	88751107	+	40	NA	Intergenic	Intergenic	-43469	NM_001198587	18191	Mm.425766	NM_172544	ENSMUSG00000066392	Nrxn3	-	neurexin III	protein-coding
lmo2_peak_76	chr1	160794332	160794475	+	40	NA	Intergenic	MTE2b|LTR|ERVL-MaLR	-1465	NM_013862	29809	Mm.25833	NM_013862	ENSMUSG00000026721	Rabgap1l	5830411O09Rik|8430421H08Rik|9630005B12Rik|AW049894|HHL|Hh1|mKIAA0471	RAB GTPase activating protein 1-like	protein-coding
lmo2_peak_343	chr12	24744452	24744614	+	40	NA	Intergenic	Intergenic	36279	NM_009104	20135	Mm.99	NM_009104	ENSMUSG00000020649	Rrm2	AA407299|R2	ribonucleotide reductase M2	protein-coding
lmo2_peak_1871	chrX	7971401	7971557	+	40	NA	Intergenic	Intergenic	-3569	NM_008089	14460	Mm.335973	NM_008089	ENSMUSG00000031162	Gata1	Gata-1|Gf-1|eryf1	GATA binding protein 1	protein-coding
lmo2_peak_1387	chr5	151428500	151428663	+	40	NA	intron (NR_131166, intron 3 of 3)	intron (NR_131166, intron 3 of 3)	22077	NR_131166	100042166	Mm.443286	NR_131166	ENSMUSG00000097321	Gm3704	-	predicted gene 3704	ncRNA
lmo2_peak_801	chr18	9316126	9316302	+	40	NA	3' UTR (NM_026484, exon 10 of 10)	3' UTR (NM_026484, exon 10 of 10)	-33405	NM_153086	225152	Mm.119273	NM_153086	ENSMUSG00000036855	Gjd4	9430022F06Rik|Cx39	gap junction protein, delta 4	protein-coding
lmo2_peak_897	chr19	52600445	52600777	+	40	NA	Intergenic	Intergenic	-322570	NR_030678	100043450	Mm.145594	NR_030678	ENSMUSG00000117896	AA387883	-	expressed sequence AA387883	ncRNA
lmo2_peak_54	chr1	126833052	126833261	+	40	NA	Intergenic	Intergenic	-2524	NM_001081756	210356	Mm.377234	NM_172484	ENSMUSG00000049690	Nckap5	8430408F21|D130011D22Rik|E030049G20Rik|Erih1|Erih2|Gm1548|Nap5	NCK-associated protein 5	protein-coding
lmo2_peak_1331	chr5	105523549	105523771	+	40	NA	intron (NM_133897, intron 1 of 3)	intron (NM_133897, intron 1 of 3)	4189	NM_133897	100604	Mm.319847	NM_133897	ENSMUSG00000054720	Lrrc8c	AD158|AI326115|E430036I04Rik|fad158	leucine rich repeat containing 8 family, member C	protein-coding
lmo2_peak_1298	chr5	31109269	31109502	+	40	NA	intron (NM_001347324, intron 2 of 3)	intron (NM_001347324, intron 2 of 3)	1066	NM_001347324	231098	Mm.189696	NM_177677	ENSMUSG00000053856	Dnajc5g	4922503E23Rik	DnaJ heat shock protein family (Hsp40) member C5 gamma	protein-coding
lmo2_peak_128	chr10	31062775	31063016	+	40	NA	Intergenic	Intergenic	-220112	NM_013904	15214	Mm.103573	NM_013904	ENSMUSG00000019789	Hey2	CHF1|Herp1|Hrt2|bHLHb32|hesr2	hairy/enhancer-of-split related with YRPW motif 2	protein-coding
lmo2_peak_74	chr1	156985742	156985885	+	40	NA	Intergenic	Intergenic	-46187	NM_023884	78255	Mm.28376	NM_023884	ENSMUSG00000026594	Ralgps2	1810020P17Rik|2210408F11Rik|4921528G01Rik|9130014M22Rik|AU043409|AW046161	Ral GEF with PH domain and SH3 binding motif 2	protein-coding
lmo2_peak_1027	chr2	133397565	133397786	+	40	NA	Intergenic	Intergenic	-154484	NM_007553	12156	Mm.103205	NM_007553	ENSMUSG00000027358	Bmp2	AI467020|Bmp2a	bone morphogenetic protein 2	protein-coding
lmo2_peak_735	chr17	7326534	7326708	+	40	NA	intron (NR_046291, intron 4 of 11)	intron (NR_046291, intron 4 of 11)	1961	NM_011553	21461	Mm.264651	NM_011553	ENSMUSG00000071322	Tcp10a	D17Leh66A|D17Leh66aa|Gm10326|T66A-a|Tcp-10a	t-complex protein 10a	protein-coding
lmo2_peak_832	chr18	62285517	62285660	+	40	NA	Intergenic	Intergenic	-38616	NM_008313	15562	Mm.20440	NM_008313	ENSMUSG00000026322	Htr4	5-HT-4|5-HT4|5-HT<4L>|5HTR4	5 hydroxytryptamine (serotonin) receptor 4	protein-coding
lmo2_peak_989	chr2	92055800	92055997	+	40	NA	Intergenic	Intergenic	-31728	NM_011957	26427	Mm.10353	NM_011957	ENSMUSG00000027230	Creb3l1	Oasis	cAMP responsive element binding protein 3-like 1	protein-coding
lmo2_peak_1448	chr6	90495618	90495810	+	40	NA	Intergenic	Intergenic	33138	NM_001355668	66277	Mm.38343	NM_023184	ENSMUSG00000030087	Klf15	1810013I09Rik|AV048136|AW494632|CKLF|KKLF	Kruppel-like factor 15	protein-coding
lmo2_peak_1764	chr9	29433210	29433354	+	40	NA	intron (NM_001357597, intron 1 of 8)	intron (NM_001357597, intron 1 of 8)	-19830	NM_001357603	235106	Mm.283138	NM_172290	ENSMUSG00000059974	Ntm	6230410L23Rik|B230210G24Rik|Hnt|Igdcc2|R75390	neurotrimin	protein-coding
lmo2_peak_243	chr11	52642045	52642203	+	40	NA	Intergenic	Intergenic	-122582	NM_177059	320027	Mm.44518	NM_177059	ENSMUSG00000036264	Fstl4	B230374F23Rik|SPIG1|mKIAA1061	follistatin-like 4	protein-coding
lmo2_peak_281	chr11	85644215	85644358	+	40	NA	intron (NM_138681, intron 24 of 25)	intron (NM_138681, intron 24 of 25)	75458	NR_045875	71489	Mm.442482	NR_045875	ENSMUSG00000086199	Bcas3os1	8430403D17Rik	breast carcinoma amplified sequence 3, opposite strand 1	ncRNA
lmo2_peak_951	chr2	60138936	60139169	+	40	NA	Intergenic	L2|LINE|L2	-13312	NM_001001182	407823	Mm.228071	NM_001001182	ENSMUSG00000026987	Baz2b	5830435C13Rik|BC053917|D2Ertd794e	bromodomain adjacent to zinc finger domain, 2B	protein-coding
lmo2_peak_1919	chrX	162470325	162470486	+	40	NA	intron (NM_178256, intron 14 of 17)	intron (NM_178256, intron 14 of 17)	95111	NM_001359104	194590	Mm.442441	NM_178256	ENSMUSG00000040855	Reps2	POB1	RALBP1 associated Eps domain containing protein 2	protein-coding
lmo2_peak_423	chr13	32029032	32029258	+	40	NA	intron (NM_146041, intron 7 of 10)	intron (NM_146041, intron 7 of 10)	222499	NM_008592	17300	Mm.12949	NM_008592	ENSMUSG00000050295	Foxc1	FREAC3|Fkh1|Mf1|Mf4|ch|fkh-1|frkhda	forkhead box C1	protein-coding
lmo2_peak_1559	chr7	126776616	126776885	+	40	NA	promoter-TSS (NM_025347)	promoter-TSS (NM_025347)	-225	NM_026875	66090	Mm.27114	NM_025347	ENSMUSG00000042675	Ypel3	0610043B10Rik|1190001G19Rik|Suap	yippee like 3	protein-coding
lmo2_peak_610	chr15	68105134	68105336	+	40	NA	intron (NR_152182, intron 11 of 13)	intron (NR_152182, intron 11 of 13)	153621	NM_001145888	380993	Mm.309526	NM_198644	ENSMUSG00000022335	Zfat	Gm922|Zfat1|Zfp406	zinc finger and AT hook domain containing	protein-coding
lmo2_peak_228	chr11	33911024	33911167	+	40	NA	intron (NM_001190886, intron 1 of 7)	intron (NM_001190886, intron 1 of 7)	-51918	NM_031169	16533	Mm.6206	NM_031169	ENSMUSG00000020155	Kcnmb1	BKbeta1	potassium large conductance calcium-activated channel, subfamily M, beta member 1	protein-coding
lmo2_peak_1883	chrX	52447611	52447842	+	40	NA	intron (NM_016697, intron 2 of 7)	intron (NM_016697, intron 2 of 7)	-25211	NR_030497	751531		NR_030497	ENSMUSG00000076214	Mir717	Mirn717|mir-717|mmu-mir-717	microRNA 717	ncRNA
lmo2_peak_72	chr1	155039340	155039555	+	40	NA	Intergenic	Intergenic	43817	NR_151545	671336	Mm.393476	NR_151545	ENSMUSG00000096950	Gm9530	-	predicted gene 9530	ncRNA
lmo2_peak_1496	chr7	34969215	34969373	+	40	NA	intron (NM_008820, intron 7 of 14)	intron (NM_008820, intron 7 of 14)	56887	NM_008820	18624	Mm.69751	NM_008820	ENSMUSG00000063931	Pepd	Pep-4|Pep4|dal	peptidase D	protein-coding
lmo2_peak_1190	chr4	81651145	81651288	+	40	NA	Intergenic	Intergenic	-164203	NR_030570	100124446		NR_030570	ENSMUSG00000077941	Mir466h	Mirn466h	microRNA 466h	ncRNA
lmo2_peak_782	chr17	70633291	70633458	+	40	NA	intron (NM_177639, intron 3 of 11)	intron (NM_177639, intron 3 of 11)	71627	NM_001128181	224997	Mm.311840	NM_027712	ENSMUSG00000003279	Dlgap1	4933422O14Rik|9630002F18|AI845682|AI848168|BB075781|D17Bwg0511e|GKAP/SAPAP|GKPA/SAPAP|Gkap|Sapap1|mKIAA4162	DLG associated protein 1	protein-coding
lmo2_peak_1668	chr8	83768495	83768638	+	40	NA	Intergenic	B3A|SINE|B2	-27255	NM_001163031	26364	Mm.334648	NM_011925	ENSMUSG00000002885	Adgre5	AA409984|Cd97|TM7LN1	adhesion G protein-coupled receptor E5	protein-coding
lmo2_peak_886	chr19	44444677	44444850	+	40	NA	Intergenic	MLT1J|LTR|ERVL-MaLR	-37054	NM_009127	20249	Mm.267377	NM_009127	ENSMUSG00000037071	Scd1	AA589638|AI265570|Scd|Scd-1|ab	stearoyl-Coenzyme A desaturase 1	protein-coding
lmo2_peak_492	chr13	101659135	101659307	+	40	NA	Intergenic	Intergenic	33409	NM_001024955	18708	Mm.259333	NM_001024955	ENSMUSG00000041417	Pik3r1	PI3K|p50alpha|p55alpha|p85alpha	phosphoinositide-3-kinase regulatory subunit 1	protein-coding
lmo2_peak_670	chr16	30769828	30769997	+	40	NA	Intergenic	L1M5|LINE|L1	170189	NM_177632	224093	Mm.28244	NM_177632	ENSMUSG00000046546	Fam43a	Tuf1	family with sequence similarity 43, member A	protein-coding
lmo2_peak_1782	chr9	44064890	44065048	+	40	NA	Intergenic	B2_Mm2|SINE|B2	-2052	NM_198092	53376	Mm.272770	NM_016808	ENSMUSG00000032010	Usp2	B930035K21Rik|Ubp41	ubiquitin specific peptidase 2	protein-coding
lmo2_peak_1263	chr4	141885324	141885467	+	40	NA	Intergenic	Intergenic	-10475	NM_025994	27984	Mm.395598	NM_025994	ENSMUSG00000040659	Efhd2	2600015J22Rik|AA408606|D4Wsu27e	EF hand domain containing 2	protein-coding
lmo2_peak_1708	chr8	120256240	120256426	+	40	NA	Intergenic	Intergenic	-28103	NR_110496	434353	Mm.411793	NR_110496	ENSMUSG00000097960	A330074K22Rik	-	RIKEN cDNA A330074K22 gene	ncRNA
lmo2_peak_327	chr11	120299756	120299899	+	40	NA	Intergenic	Intergenic	47586	NR_105900	102465564		NR_105900	ENSMUSG00000098955	Mir6935	Gm27344|mmu-mir-6935	microRNA 6935	ncRNA
lmo2_peak_731	chr17	5829010	5829153	+	40	NA	Intergenic	Intergenic	-12243	NM_025664	66616	Mm.89515	NM_025664	ENSMUSG00000002365	Snx9	2700073N08Rik|SDP1|SH3PX1	sorting nexin 9	protein-coding
lmo2_peak_725	chr16	97450079	97450222	+	40	NA	intron (NM_010846, intron 10 of 10)	intron (NM_010846, intron 10 of 10)	12755	NM_010846	17857	Mm.33996	NM_010846	ENSMUSG00000000386	Mx1	AI893580|Mx|Mx-1	MX dynamin-like GTPase 1	protein-coding
lmo2_peak_5	chr1	36091304	36091533	+	40	NA	intron (NM_015818, intron 1 of 1)	MTEb|LTR|ERVL-MaLR	23018	NM_015818	50785	Mm.213566	NM_015818	ENSMUSG00000045216	Hs6st1	6Ost1	heparan sulfate 6-O-sulfotransferase 1	protein-coding
